date,pm25_concentration_ug_per_m3
2016-10-06,22.0
2016-10-07,23.5
2016-10-08,18.7
2016-10-09,19.8
2016-10-10,22.3
2016-10-11,18.6
2016-10-12,21.2
2016-10-13,24.0
2016-10-14,23.4
2016-10-15,21.3
2016-10-16,22.7
2016-10-17,18.0
2016-10-18,18.5
2016-10-19,18.0
2016-10-20,22.4
2016-10-21,25.9
2016-10-22,30.0
2016-10-23,24.2
2016-10-24,24.4
2016-10-25,28.1
2016-10-26,33.1
2016-10-27,58.6
2016-10-28,31.1
2016-10-29,41.4
2016-10-30,43.1
2016-10-31,70.8
2016-11-01,79.2
2016-11-02,100.5
2016-11-03,106.7
2016-11-04,89.9
2016-11-05,60.3
2016-11-06,44.5
2016-11-07,38.6
2016-11-08,36.3
2016-11-09,29.7
2016-11-10,28.7
2016-11-11,32.8
2016-11-12,43.0
2016-11-13,62.8
2016-11-14,67.4
2016-11-15,60.8
2016-11-16,80.3
2016-11-17,78.5
2016-11-18,106.7
2016-11-19,60.0
2016-11-20,15.2
2016-11-21,27.4
2016-11-22,63.1
2016-11-23,67.6
2016-11-24,81.5
2016-11-25,101.8
2016-11-26,84.3
2016-11-27,94.6
2016-11-28,85.3
2016-11-29,24.1
2016-11-30,38.3
2016-12-01,69.5
2016-12-02,76.6
2016-12-03,95.1
2016-12-04,103.3
2016-12-05,88.9
2016-12-06,114.9
2016-12-07,109.1
2016-12-08,91.5
2016-12-09,27.9
2016-12-10,30.0
2016-12-11,60.0
2016-12-12,47.6
2016-12-13,47.4
2016-12-14,63.2
2016-12-15,63.0
2016-12-16,83.1
2016-12-17,61.1
2016-12-18,65.1
2016-12-19,58.0
2016-12-20,71.3
2016-12-21,60.1
2016-12-22,67.2
2016-12-23,52.6
2016-12-24,51.8
2016-12-25,32.3
2016-12-26,49.5
2016-12-27,53.9
2016-12-28,48.1
2016-12-29,47.2
2016-12-30,36.0
2016-12-31,110.9
2017-01-01,134.1
2017-01-02,122.7
2017-01-03,157.1
2017-01-04,183.0
2017-01-05,125.5
2017-01-06,140.5
2017-01-07,104.3
2017-01-08,74.3
2017-01-09,74.4
2017-01-10,81.8
2017-01-11,98.4
2017-01-12,102.1
2017-01-13,48.1
2017-01-14,69.8
2017-01-15,56.0
2017-01-16,75.3
2017-01-17,68.3
2017-01-18,86.5
2017-01-19,54.2
2017-01-20,64.3
2017-01-21,59.4
2017-01-22,71.5
2017-01-23,72.7
2017-01-24,76.1
2017-01-25,66.7
2017-01-26,55.6
2017-01-27,73.9
2017-01-28,81.9
2017-01-29,74.8
2017-01-30,73.1
2017-01-31,63.1
2017-02-01,88.2
2017-02-02,76.3
2017-02-03,88.8
2017-02-04,28.3
2017-02-05,33.3
2017-02-06,52.3
2017-02-07,52.0
2017-02-08,68.3
2017-02-09,57.7
2017-02-10,44.3
2017-02-11,60.5
2017-02-12,65.6
2017-02-13,55.1
2017-02-14,59.1
2017-02-15,63.9
2017-02-16,99.2
2017-02-17,92.1
2017-02-18,102.1
2017-02-19,71.5
2017-02-20,44.5
2017-02-21,25.2
2017-02-22,36.0
2017-02-23,68.9
2017-02-24,71.9
2017-02-25,54.7
2017-02-26,59.5
2017-02-27,32.1
2017-02-28,29.4
2017-03-01,20.6
2017-03-02,44.9
2017-03-03,47.3
2017-03-04,27.4
2017-03-05,21.7
2017-03-06,26.3
2017-03-07,25.0
2017-03-08,24.5
2017-03-09,20.5
2017-03-10,33.5
2017-03-11,50.2
2017-03-12,36.2
2017-03-13,38.2
2017-03-14,22.0
2017-03-15,53.2
2017-03-16,45.5
2017-03-17,18.6
2017-03-18,19.6
2017-03-19,33.7
2017-03-20,55.9
2017-03-21,28.3
2017-03-22,14.1
2017-03-23,14.2
2017-03-24,27.7
2017-03-25,24.9
2017-03-26,23.0
2017-03-27,23.4
2017-03-28,21.0
2017-03-29,20.8
2017-03-30,24.6
2017-03-31,19.7
2017-04-01,23.4
2017-04-02,24.7
2017-04-03,24.0
2017-04-04,24.8
2017-04-05,25.5
2017-04-06,58.3
2017-04-07,52.2
2017-04-08,27.5
2017-04-09,30.7
2017-04-10,31.8
2017-04-11,27.0
2017-04-12,24.6
2017-04-13,21.1
2017-04-14,15.3
2017-04-15,17.1
2017-04-16,16.2
2017-04-17,24.0
2017-04-18,26.6
2017-04-19,23.7
2017-04-20,31.4
2017-04-21,26.6
2017-04-22,18.6
2017-04-23,23.4
2017-04-24,21.8
2017-04-25,21.3
2017-04-26,21.8
2017-04-27,20.4
2017-04-28,20.9
2017-04-29,30.6
2017-04-30,21.3
2017-05-01,20.6
2017-05-02,15.9
2017-05-03,16.4
2017-05-04,16.6
2017-05-05,16.3
2017-05-06,16.4
2017-05-07,15.5
2017-05-08,17.2
2017-05-09,21.3
2017-05-10,21.0
2017-05-11,21.4
2017-05-12,19.3
2017-05-13,18.0
2017-05-14,16.2
2017-05-15,15.6
2017-05-16,15.2
2017-05-17,15.0
2017-05-18,13.6
2017-05-19,14.8
2017-05-20,17.3
2017-05-21,14.3
2017-05-22,14.1
2017-05-23,17.7
2017-05-24,15.5
2017-05-25,15.2
2017-05-26,20.7
2017-05-27,26.4
2017-05-28,26.4
2017-05-29,30.6
2017-05-30,30.8
2017-05-31,36.7
2017-06-01,38.7
2017-06-02,42.5
2017-06-03,42.6
2017-06-04,21.6
2017-06-05,19.7
2017-06-06,19.6
2017-06-07,14.4
2017-06-08,15.9
2017-06-09,14.1
2017-06-10,15.1
2017-06-11,13.8
2017-06-12,19.8
2017-06-13,24.0
2017-06-14,23.8
2017-06-15,21.5
2017-06-16,23.6
2017-06-17,23.5
2017-06-18,19.3
2017-06-19,21.7
2017-06-20,24.3
2017-06-21,26.1
2017-06-22,30.7
2017-06-23,31.3
2017-06-24,31.4
2017-06-25,30.2
2017-06-26,29.6
2017-06-27,25.9
2017-06-28,22.8
2017-06-29,20.2
2017-06-30,23.7
2017-07-01,25.8
2017-07-02,25.7
2017-07-03,25.5
2017-07-04,25.7
2017-07-05,24.1
2017-07-06,24.1
2017-07-07,22.5
2017-07-08,20.6
2017-07-09,18.7
2017-07-10,19.4
2017-07-11,24.6
2017-07-12,22.1
2017-07-13,21.0
2017-07-14,19.8
2017-07-15,22.9
2017-07-16,20.1
2017-07-17,22.1
2017-07-18,22.3
2017-07-19,20.8
2017-07-20,24.6
2017-07-21,22.0
2017-07-22,27.1
2017-07-23,23.7
2017-07-24,24.0
2017-07-25,27.7
2017-07-26,24.5
2017-07-27,22.1
2017-07-28,20.4
2017-07-29,22.5
2017-07-30,20.2
2017-07-31,22.4
2017-08-01,22.9
2017-08-02,20.2
2017-08-03,19.5
2017-08-04,23.0
2017-08-05,28.1
2017-08-06,20.9
2017-08-07,19.6
2017-08-08,20.1
2017-08-09,18.9
2017-08-10,17.4
2017-08-11,16.8
2017-08-12,17.1
2017-08-13,15.0
2017-08-14,13.3
2017-08-15,13.4
2017-08-16,13.6
2017-08-17,15.0
2017-08-18,16.9
2017-08-19,15.6
2017-08-20,20.3
2017-08-21,22.8
2017-08-22,21.6
2017-08-23,14.5
2017-08-24,14.1
2017-08-25,15.1
2017-08-26,16.7
2017-08-27,15.6
2017-08-28,19.1
2017-08-29,27.3
2017-08-30,37.2
2017-08-31,22.1
2017-09-01,32.8
2017-09-02,24.5
2017-09-03,21.4
2017-09-04,18.8
2017-09-05,17.2
2017-09-06,17.4
2017-09-07,17.9
2017-09-08,18.3
2017-09-09,16.0
2017-09-10,15.2
2017-09-11,16.4
2017-09-12,18.1
2017-09-13,17.4
2017-09-14,16.6
2017-09-15,19.3
2017-09-16,17.1
2017-09-17,17.5
2017-09-18,16.6
2017-09-19,18.0
2017-09-20,17.5
2017-09-21,16.4
2017-09-22,16.3
2017-09-23,16.8
2017-09-24,14.8
2017-09-25,13.8
2017-09-26,15.1
2017-09-27,15.1
2017-09-28,14.8
2017-09-29,14.9
2017-09-30,17.0
2017-10-01,16.7
2017-10-02,18.5
2017-10-03,18.5
2017-10-04,16.0
2017-10-05,17.8
2017-10-06,27.4
2017-10-07,26.5
2017-10-08,14.0
2017-10-09,25.0
2017-10-10,48.0
2017-10-11,54.1
2017-10-12,57.8
2017-10-13,29.5
2017-10-14,27.3
2017-10-15,38.7
2017-10-16,39.3
2017-10-17,49.4
2017-10-18,37.8
2017-10-19,37.5
2017-10-20,33.8
2017-10-21,34.3
2017-10-22,35.4
2017-10-23,24.9
2017-10-24,26.7
2017-10-25,27.7
2017-10-26,22.4
2017-10-27,18.8
2017-10-28,37.0
2017-10-29,29.5
2017-10-30,58.3
2017-10-31,46.7
2017-11-01,33.8
2017-11-02,35.5
2017-11-03,31.9
2017-11-04,62.1
2017-11-05,90.7
2017-11-06,141.9
2017-11-07,69.1
2017-11-08,27.6
2017-11-09,38.9
2017-11-10,68.2
2017-11-11,97.1
2017-11-12,102.3
2017-11-13,43.8
2017-11-14,39.5
2017-11-15,55.8
2017-11-16,75.7
2017-11-17,57.0
2017-11-18,51.0
2017-11-19,43.2
2017-11-20,43.8
2017-11-21,52.8
2017-11-22,73.2
2017-11-23,89.1
2017-11-24,68.3
2017-11-25,69.4
2017-11-26,97.0
2017-11-27,61.0
2017-11-28,22.8
2017-11-29,49.3
2017-11-30,79.4
2017-12-01,89.8
2017-12-02,105.1
2017-12-03,86.6
2017-12-04,52.3
2017-12-05,54.2
2017-12-06,69.3
2017-12-07,69.1
2017-12-08,60.9
2017-12-09,82.4
2017-12-10,105.9
2017-12-11,48.8
2017-12-12,57.7
2017-12-13,63.5
2017-12-14,60.6
2017-12-15,59.9
2017-12-16,57.6
2017-12-17,56.6
2017-12-18,36.8
2017-12-19,39.6
2017-12-20,43.6
2017-12-21,49.3
2017-12-22,44.8
2017-12-23,65.7
2017-12-24,71.8
2017-12-25,74.5
2017-12-26,82.6
2017-12-27,113.2
2017-12-28,96.9
2017-12-29,64.2
2017-12-30,64.2
2017-12-31,69.9
2018-01-01,77.3
2018-01-02,71.2
2018-01-03,77.6
2018-01-04,45.7
2018-01-05,90.0
2018-01-06,124.9
2018-01-07,145.8
2018-01-08,113.4
2018-01-09,87.7
2018-01-10,71.3
2018-01-11,74.4
2018-01-12,79.3
2018-01-13,113.2
2018-01-14,98.5
2018-01-15,112.5
2018-01-16,102.3
2018-01-17,58.6
2018-01-18,105.3
2018-01-19,89.5
2018-01-20,95.1
2018-01-21,88.8
2018-01-22,56.3
2018-01-23,76.3
2018-01-24,74.4
2018-01-25,49.5
2018-01-26,74.7
2018-01-27,75.7
2018-01-28,63.6
2018-01-29,67.9
2018-01-30,66.2
2018-01-31,82.1
2018-02-01,39.9
2018-02-02,69.4
2018-02-03,63.0
2018-02-04,39.4
2018-02-05,45.9
2018-02-06,67.6
2018-02-07,45.3
2018-02-08,50.7
2018-02-09,46.0
2018-02-10,36.0
2018-02-11,41.4
2018-02-12,49.3
2018-02-13,57.1
2018-02-14,54.9
2018-02-15,98.2
2018-02-16,75.0
2018-02-17,55.7
2018-02-18,62.9
2018-02-19,76.6
2018-02-20,72.2
2018-02-21,60.8
2018-02-22,54.9
2018-02-23,42.2
2018-02-24,47.5
2018-02-25,55.7
2018-02-26,66.7
2018-02-27,106.4
2018-02-28,79.1
2018-03-01,57.3
2018-03-02,46.8
2018-03-03,44.1
2018-03-04,27.6
2018-03-05,52.9
2018-03-06,61.1
2018-03-07,76.7
2018-03-08,62.3
2018-03-09,71.0
2018-03-10,49.9
2018-03-11,30.3
2018-03-12,36.8
2018-03-13,28.5
2018-03-14,32.8
2018-03-15,38.2
2018-03-16,36.7
2018-03-17,36.3
2018-03-18,27.7
2018-03-19,26.2
2018-03-20,26.7
2018-03-21,35.7
2018-03-22,56.0
2018-03-23,29.2
2018-03-24,36.0
2018-03-25,56.0
2018-03-26,50.8
2018-03-27,31.5
2018-03-28,49.9
2018-03-29,72.2
2018-03-30,51.0
2018-03-31,43.7
2018-04-01,44.1
2018-04-02,41.9
2018-04-03,53.7
2018-04-04,54.2
2018-04-05,62.8
2018-04-06,67.0
2018-04-07,63.2
2018-04-08,60.3
2018-04-09,65.5
2018-04-10,82.7
2018-04-11,62.9
2018-04-12,82.2
2018-04-13,64.8
2018-04-14,62.9
2018-04-15,50.4
2018-04-16,48.6
2018-04-17,54.3
2018-04-18,51.7
2018-04-19,43.6
2018-04-20,49.1
2018-04-21,54.4
2018-04-22,78.6
2018-04-23,60.6
2018-04-24,40.4
2018-04-25,30.8
2018-04-26,36.0
2018-04-27,38.7
2018-04-28,41.0
2018-04-29,38.8
2018-04-30,37.5
2018-05-01,33.6
2018-05-02,33.1
2018-05-03,84.0
2018-05-04,49.2
2018-05-05,41.3
2018-05-06,46.1
2018-05-07,42.9
2018-05-08,43.8
2018-05-09,36.5
2018-05-10,36.4
2018-05-11,28.6
2018-05-12,27.1
2018-05-13,23.6
2018-05-14,25.8
2018-05-15,28.0
2018-05-16,29.7
2018-05-17,39.1
2018-05-18,34.0
2018-05-19,56.2
2018-05-20,50.9
2018-05-21,51.0
2018-05-22,44.9
2018-05-23,40.7
2018-05-24,27.8
2018-05-25,34.2
2018-05-26,31.6
2018-05-27,33.1
2018-05-28,33.2
2018-05-29,64.4
2018-05-30,92.9
2018-05-31,49.1
2018-06-01,42.2
2018-06-02,35.3
2018-06-03,32.6
2018-06-04,30.7
2018-06-05,26.8
2018-06-06,28.7
2018-06-07,34.0
2018-06-08,38.4
2018-06-09,60.0
2018-06-10,53.1
2018-06-11,50.1
2018-06-12,46.1
2018-06-13,54.7
2018-06-14,47.1
2018-06-15,56.4
2018-06-16,48.7
2018-06-17,46.3
2018-06-18,47.8
